id,location,species,stage,biomas,radius,functional_group,genotype,dispersal_pars
win1	(106, 199, 1)	sp1	a	wind	Dict("veg"=>100.008)	5			(0, 0)
win2	(339, 383, 1)	sp1	a	wind	Dict("veg"=>99.6312)	5			(0, 0)
win3	(249, 27, 1)	sp1	a	wind	Dict("veg"=>101.006)	5			(0, 0)
win4	(302, 331, 1)	sp1	a	wind	Dict("veg"=>101.112)	5			(0, 0)
win5	(225, 99, 1)	sp1	a	wind	Dict("veg"=>99.8453)	5			(0, 0)
win6	(336, 180, 1)	sp1	a	wind	Dict("veg"=>100.59)	5			(0, 0)
win7	(16, 73, 1)	sp1	a	wind	Dict("veg"=>98.8533)	5			(0, 0)
win8	(40, 270, 1)	sp1	a	wind	Dict("veg"=>100.687)	5			(0, 0)
win9	(75, 121, 1)	sp1	a	wind	Dict("veg"=>101.04)	5			(0, 0)
win10	(446, 346, 1)	sp1	a	wind	Dict("veg"=>101.542)	5			(0, 0)
win11	(231, 236, 1)	sp1	a	wind	Dict("veg"=>99.4551)	5			(0, 0)
win12	(379, 29, 1)	sp1	a	wind	Dict("veg"=>99.1235)	5			(0, 0)
win13	(276, 175, 1)	sp1	a	wind	Dict("veg"=>98.6048)	5			(0, 0)
win14	(78, 67, 1)	sp1	a	wind	Dict("veg"=>98.3575)	5			(0, 0)
win15	(460, 196, 1)	sp1	a	wind	Dict("veg"=>99.9767)	5			(0, 0)
win16	(462, 23, 1)	sp1	a	wind	Dict("veg"=>100.499)	5			(0, 0)
win17	(389, 440, 1)	sp1	a	wind	Dict("veg"=>100.239)	5			(0, 0)
win18	(302, 101, 1)	sp1	a	wind	Dict("veg"=>100.21)	5			(0, 0)
win19	(244, 408, 1)	sp1	a	wind	Dict("veg"=>100.507)	5			(0, 0)
win20	(327, 186, 1)	sp1	a	wind	Dict("veg"=>101.352)	5			(0, 0)
win21	(218, 281, 1)	sp1	a	wind	Dict("veg"=>100.396)	5			(0, 0)
win22	(220, 286, 1)	sp1	a	wind	Dict("veg"=>100.603)	5			(0, 0)
win23	(360, 351, 1)	sp1	a	wind	Dict("veg"=>96.7413)	5			(0, 0)
win24	(142, 233, 1)	sp1	a	wind	Dict("veg"=>99.5804)	5			(0, 0)
win25	(239, 301, 1)	sp1	a	wind	Dict("veg"=>99.1696)	5			(0, 0)
win26	(363, 268, 1)	sp1	a	wind	Dict("veg"=>97.8732)	5			(0, 0)
win27	(434, 460, 1)	sp1	a	wind	Dict("veg"=>100.691)	5			(0, 0)
