"species","sp_id"
"Plantago_media","p-1"
"Hippocrepis_comosa","p-2"
"Falcaria_vulgaris","p-3"
"Vicia_villosa","p-4"
"Plantago_major","p-5"
"Actaea_spicata","p-6"
"Euphorbia_cyparissias","p-7"
"Carex_flacca","p-8"
"Trifolium_pratense","p-9"
"Cichorium_intybus","p-10"
"Platanthera_chlorantha","p-11"
"Ononis_spinosa","p-12"
"Lolium_perenne","p-13"
"Medicago_falcata","p-14"
"Sedum_sexangulare","p-15"
"Avenula_pubescens","p-16"
"Galium_aparine","p-17"
"Sanguisorba_minor","p-18"
"Epilobium_montanum","p-19"
"Festuca_pratensis","p-20"
"Vincetoxicum_hirundinaria","p-21"
"Melampyrum_sylvaticum","p-22"
"Heracleum_sphondylium","p-23"
"Carduus_crispus","p-24"
"Ajuga_genevensis","p-25"
"Pimpinella_saxifraga","p-26"
"Geranium_dissectum","p-27"
"Hieracium_pilosella","p-28"
"Stellaria_holostea","p-29"
"Mentha_verticillata","p-30"
"Poa_pratensis","p-31"
"Onobrychis_viciifolia","p-32"
"Veronica_chamaedrys","p-33"
"Convolvulus_arvensis","p-34"
"Veronica_teucrium","p-35"
"Cirsium_oleraceum","p-36"
"Sonchus_asper","p-37"
"Cerinthe_minor","p-38"
"Valeriana_dioica","p-39"
"Koeleria_pyramidata","p-40"
"Aegopodium_podagraria","p-41"
"Senecio_erucifolius","p-42"
"Tragopogon_pratensis","p-43"
"Cirsium_tuberosum","p-44"
"Vicia_hirsuta","p-45"
"Ranunculus_repens","p-46"
"Vicia_tetrasperma","p-47"
"Viola_odorata","p-48"
"Poa_annua","p-49"
"Briza_media","p-50"
"Holcus_lanatus","p-51"
"Cirsium_vulgare","p-52"
"Taraxacum_officinale","p-53"
"Bromus_erectus","p-54"
"Trifolium_medium","p-55"
"Prunella_grandiflora","p-56"
"Anchusa_arvensis","p-57"
"Plantago_lanceolata","p-58"
"Cephalanthera_rubra","p-59"
"Vicia_tenuifolia","p-60"
"Scabiosa_columbaria","p-61"
"Campanula_persicifolia","p-62"
"Lotus_corniculatus","p-63"
"Achillea_millefolium","p-64"
"Myosotis_arvensis","p-65"
"Alopecurus_pratensis","p-66"
"Arabis_hirsuta","p-67"
"Rhinanthus_minor","p-68"
"Myosotis_sylvatica","p-69"
"Galium_pumilum","p-70"
"Anthyllis_vulneraria","p-71"
"Primula_veris","p-72"
"Phleum_pratense","p-73"
"Senecio_ovatus","p-74"
"Centaurea_jacea","p-75"
"Triticum_aestivum","p-76"
"Carex_leporina","p-77"
"Galium_verum","p-78"
"Filipendula_vulgaris","p-79"
"Chaerophyllum_hirsutum","p-80"
"Salvia_pratensis","p-81"
"Silene_dioica","p-82"
"Centaurea_scabiosa","p-83"
"Senecio_vulgaris","p-84"
"Campanula_glomerata","p-85"
"Clinopodium_vulgare","p-86"
"Polygala_comosa","p-87"
"Campanula_rotundifolia","p-88"
"Ophrys_apifera","p-89"
"Symphytum_officinale","p-90"
"Tanacetum_vulgare","p-91"
"Antennaria_dioica","p-92"
"Bromus_hordeaceus","p-93"
"Rumex_crispus","p-94"
"Bellis_perennis","p-95"
"Linum_catharticum","p-96"
"Carlina_vulgaris","p-97"
"Senecio_jacobaea","p-98"
"Lathyrus_pratensis","p-99"
"Helianthemum_nummularium","p-100"
