sp_id,kernel,e_mu,e_sd,b0g,b0em,b0am,b0jg,b0ag,sestra,dyad,floron,floroff,seedon,seedoff,max_mass,min_mass,max_span,mass_mu,mass_sd,abund
p-10,wa,128.1774328415,0.0001,1502900000000,1502900000000,47527000000,67026000000,335130000,0,0,12,18,32,35,3587530415.28225,358753041.528225,23,2870024332.2258,0.0001,10
p-11,wa,1.6065201378,0.0001,1502900000000,1502900000000,47527000000,67026000000,335130000,0,0,12,24,32,35,563566.021745523,56356.6021745523,2,450852.817396418,0.0001,10
