"species","kernel","emass","elong_mean","elong_sd","floron_mean","floron_sd","floroff_mean","floroff_sd","seedon_mean","seedon_sd","seedoff_mean","seedoff_sd","span_mean","span_sd","b0grow_mean","b0grow_sd","b0m_mean","b0m_sd","b0germ_mean","b0germ_sd","maxseedn_mean","maxseedn_sd","maxmass"
"Calystegia_sepium","w",0.001,21,0.7,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1560,52,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,5
"Campanula_glomerata","w",0.0003,2,0.0666666666666667,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1058,35.2666666666667,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,2
"Campanula_persicifolia","w",0.0001,7,0.233333333333334,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1075,35.8333333333333,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,1
"Campanula_rotundifolia","w",0.0001,8,0.266666666666667,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,659,21.9666666666667,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,1
"Campanula_rapunculoides","wa",0.0001,7,0.233333333333334,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1110,37,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,1
"Cardaminopsis_arenosa","wa",0.0003,24,0.8,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,806,26.8666666666667,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,2
"Carduus_crispus","a",0.001,24,0.8,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,104,3.46666666666667,5250000000,175000000,1650000000,55000000,1650000000,55000000,403,13.4333333333333,5
"Carex_caryophyllea","a",0.001,10,0.333333333333333,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1560,52,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,5
"Carex_flacca","w",0.001,13,0.433333333333333,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1560,52,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,5
"Carex_leporina","wa",0.001,12,0.4,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1088,36.2666666666667,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,5
"Carex_ornithopoda","wa",0.001,17,0.566666666666667,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1088,36.2666666666667,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,5
"Carlina_vulgaris","w",0.001,12,0.4,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,506,16.8666666666667,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,5
"Centaurea_jacea","wa",0.001,17,0.566666666666667,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1110,37,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,5
"Centaurea_scabiosa","a",0.001,11,0.366666666666667,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1290,43,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,5
"Centaurium_erythraea","w",0.0001,7,0.233333333333334,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,572,19.0666666666667,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,1
"Cephalanthera_rubra","w",0.001,12,0.4,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1560,52,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,5
"Cerastium_arvense","wa",0.0003,6,0.2,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,2080,69.3333333333333,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,2
