week	id	location	sp	biomass	fgroup	stage	age	reped	chrm1	chrm2	radius
1	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.5897)	p1	a	1	false	A	A	2
1	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.5672)	p1	a	1	false	A	A	2
2	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.6014)	p1	a	2	false	A	A	2
2	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.5791)	p1	a	2	false	A	A	2
3	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.6133)	p1	a	3	false	A	A	2
3	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.5908)	p1	a	3	false	A	A	2
4	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.625)	p1	a	4	false	A	A	2
4	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.6025)	p1	a	4	false	A	A	2
5	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.6368)	p1	a	5	false	A	A	2
5	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.614)	p1	a	5	false	A	A	2
6	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.6485)	p1	a	6	false	A	A	2
6	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.6257)	p1	a	6	false	A	A	2
7	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.6602)	p1	a	7	false	A	A	2
7	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.6376)	p1	a	7	false	A	A	2
8	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.6719)	p1	a	8	false	A	A	2
8	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.6493)	p1	a	8	false	A	A	2
9	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.6838)	p1	a	9	false	A	A	2
9	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.661)	p1	a	9	false	A	A	2
10	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.6954)	p1	a	10	false	A	A	2
10	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.6726)	p1	a	10	false	A	A	2
11	p1-1	(7, 3, 1)	p1	Dict("veg"=>99.7073)	p1	a	11	false	A	A	2
11	p1-2	(33, 12, 1)	p1	Dict("veg"=>99.6841)	p1	a	11	false	A	A	2
12	p1-1	(7, 3, 1)	p1	Dict("reprd"=>0.0116547,"veg"=>99.7073)	p1	a	12	false	A	A	2
12	p1-2	(33, 12, 1)	p1	Dict("reprd"=>0.011909,"veg"=>99.6841)	p1	a	12	false	A	A	2
13	p1-1	(7, 3, 1)	p1	Dict("reprd"=>0.0233354,"veg"=>99.7073)	p1	a	13	false	A	A	2
13	p1-2	(33, 12, 1)	p1	Dict("reprd"=>0.0236505,"veg"=>99.6841)	p1	a	13	false	A	A	2
14	p1-1	(7, 3, 1)	p1	Dict("reprd"=>-0.0348609,"veg"=>99.7073)	p1	a	14	false	A	A	2
14	p1-2	(33, 12, 1)	p1	Dict("reprd"=>-0.0346373,"veg"=>99.6841)	p1	a	14	false	A	A	2
14	p1-3	(7, 3, 1)	p1	Dict("veg"=>0.07)	p1	e	1	false	A	A	2
14	p1-4	(33, 12, 1)	p1	Dict("veg"=>0.07)	p1	e	1	false	A	A	2
15	p1-1	(7, 3, 1)	p1	Dict("reprd"=>-0.0231137,"veg"=>99.7073)	p1	a	15	false	A	A	2
15	p1-2	(33, 12, 1)	p1	Dict("reprd"=>-0.0228486,"veg"=>99.6841)	p1	a	15	false	A	A	2
15	p1-3	(7, 3, 1)	p1	Dict("veg"=>0.07)	p1	e	2	false	A	A	2
15	p1-4	(33, 12, 1)	p1	Dict("veg"=>0.07)	p1	e	2	false	A	A	2
16	p1-1	(7, 3, 1)	p1	Dict("reprd"=>-0.0113629,"veg"=>99.7073)	p1	a	16	false	A	A	2
16	p1-2	(33, 12, 1)	p1	Dict("reprd"=>-0.0110462,"veg"=>99.6841)	p1	a	16	false	A	A	2
16	p1-3	(7, 3, 1)	p1	Dict("veg"=>0.07)	p1	e	3	false	A	A	2
16	p1-4	(33, 12, 1)	p1	Dict("veg"=>0.07)	p1	e	3	false	A	A	2
17	p1-1	(7, 3, 1)	p1	Dict("reprd"=>0.000324912,"veg"=>99.7073)	p1	a	17	false	A	A	2
17	p1-2	(33, 12, 1)	p1	Dict("reprd"=>0.00084688,"veg"=>99.6841)	p1	a	17	false	A	A	2
17	p1-3	(7, 3, 1)	p1	Dict("veg"=>0.07)	p1	e	4	false	A	A	2
17	p1-4	(33, 12, 1)	p1	Dict("veg"=>0.07)	p1	e	4	false	A	A	2
18	p1-1	(7, 3, 1)	p1	Dict("reprd"=>0.0121774,"veg"=>99.7073)	p1	a	18	false	A	A	2
18	p1-2	(33, 12, 1)	p1	Dict("reprd"=>0.0125054,"veg"=>99.6841)	p1	a	18	false	A	A	2
18	p1-3	(7, 3, 1)	p1	Dict("veg"=>0.07)	p1	e	5	false	A	A	2
18	p1-4	(33, 12, 1)	p1	Dict("veg"=>0.07)	p1	e	5	false	A	A	2
19	p1-1	(7, 3, 1)	p1	Dict("reprd"=>0.0239554,"veg"=>99.7073)	p1	a	19	false	A	A	2
19	p1-2	(33, 12, 1)	p1	Dict("reprd"=>0.024437,"veg"=>99.6841)	p1	a	19	false	A	A	2
19	p1-3	(7, 3, 1)	p1	Dict("veg"=>0.07)	p1	e	6	false	A	A	2
19	p1-4	(33, 12, 1)	p1	Dict("veg"=>0.07)	p1	e	6	false	A	A	2
