kernel,clonality,seedmass,compartsize,span_min,span_max,firstflower_min,firstflower_max,bankduration_max,bankduration_min,seednumber_min,seednumber_max,b0grow,b0germ,b0mort,floron,floroff,seedon,seedoff,temp_opt,temp_tol,abund,sp_id
any,TRUE,0.001,5,1560,1560,105.5958802141,105.5958802141,139.6526762655,7.1107120121,750,750,11223199206,141363714.221475,1113239249.49412,23,31,30,34,280.5886694387,9.7833333333,43,p-30
long-short,TRUE,0.001,5,1560,1560,105.5958802141,105.5958802141,139.7787977374,7.1107120121,67,2391.5,11223199206,141363714.221475,1113239249.49412,27,40,39,43,279.1677777778,8.2833333333,60,p-31
any,TRUE,0.001,5,52,1560,18.7727733217,105.5958802141,184.3434086363,7.1107120121,146.25,2500,11223199206,141363714.221475,1113239249.49412,18,44,43,47,284.8469262295,8.5333333333,95,p-32
long-short,TRUE,0.001,5,817.7541842392,1143.483475887,18.7727733217,105.5958802141,180.5167625212,7.1107120121,70.5,1860,11223199206,141363714.221475,1113239249.49412,18,40,39,43,279.5995934959,9.2333333333,48,p-33
any,TRUE,0.001,5,1560,1560,105.5958802141,105.5958802141,139.8675744698,7.1107120121,2.425,37.5,11223199206,141363714.221475,1113239249.49412,18,35,34,38,281.3450617284,9.0833333333,97,p-34
any,TRUE,0.0003,2,1560,1560,18.7727733217,18.7727733217,121.7679928043,7.1107120121,5113.3643081113,17367.3980949484,8306096743,141363714.221475,1113239249.49412,23,35,34,38,281.6584536082,7.9333333333,76,p-35
any,TRUE,0.001,5,52,1560,18.7727733217,105.5958802141,184.4484163268,7.1107120121,10.825,213.5,11223199206,141363714.221475,1113239249.49412,23,40,39,43,285.1314814815,9.6,92,p-36
short-long,TRUE,0.001,5,1560,1560,18.7727733217,105.5958802141,157.8983433652,7.1107120121,5.75,33.4,11223199206,141363714.221475,1113239249.49412,18,31,30,34,281.8990759754,7.4166666667,35,p-37
any,TRUE,0.001,5,1560,1560,18.7727733217,18.7727733217,172.9802752274,7.1107120121,5,53.825,11223199206,141363714.221475,1113239249.49412,18,35,34,38,282.5288187373,8.4833333333,71,p-38
any,TRUE,0.001,5,52,1560,18.7727733217,105.5958802141,184.0836726471,7.1107120121,262.5,10000,11223199206,141363714.221475,1113239249.49412,23,35,34,38,287.1483539095,10.5333333333,100,p-39
any,TRUE,0.001,5,1560,1560,18.7727733217,105.5958802141,157.7299992812,7.1107120121,525,1151.25,11223199206,141363714.221475,1113239249.49412,18,35,34,38,282.3332229581,7.5833333333,31,p-40
any,TRUE,0.001,5,104,1560,18.7727733217,18.7727733217,198.6204288428,7.1107120121,6,77.75,11223199206,141363714.221475,1113239249.49412,27,49,48,52,281.7792105263,6.8,47,p-41
any,TRUE,0.001,5,1560,1560,105.5958802141,105.5958802141,385.780391125,3.8755406702,287.875,518.75,11223199206,141363714.221475,1113239249.49412,27,40,39,43,281.9571625344,7.9333333333,90,p-42
long-short,TRUE,0.001,5,1560,1560,93.8700741309,126.5983231895,3.8755406702,3.8755406702,7.5,27.5,11223199206,141363714.221475,1113239249.49412,23,35,34,38,279.1436213992,8.4166666667,83,p-43
any,TRUE,0.001,5,52,2600,18.7727733217,105.5958802141,160.4268760158,7.1107120121,16,250,11223199206,141363714.221475,1113239249.49412,18,40,39,43,289.0058943089,8.0666666667,87,p-44
long,FALSE,0.0003,2,1023.0076795825,1549.9042268385,69.1708342684,111.4832921726,105.1806468163,7.1107120121,5113.3643081113,17367.3980949484,8306096743,141363714.221475,1113239249.49412,18,31,30,34,280.8409090909,8.7,69,p-45
short-long,TRUE,0.001,5,1560,1560,105.5958802141,105.5958802141,385.780391125,3.8755406702,2.25,36,11223199206,141363714.221475,1113239249.49412,18,26,25,29,280.6095528455,7.9166666667,60,p-46
any,TRUE,0.001,5,1560,1560,87.165424165,118.4016698617,142.1198363742,7.1107120121,210.0388678716,1708.0984555691,11223199206,141363714.221475,1113239249.49412,14,22,21,25,279.2736203091,8.35,83,p-47
